"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect04"
"2004","Zhoukou (city)","411600","City (Sub-provincial level)","410000","Henan (province)","1065.2500","915.1000"
"2004","Zhumadian (city)","411700","City (Sub-provincial level)","410000","Henan (province)","830.7400","552.9300"
"2004","Wuhan (city)","420100","City (Prefectural level)","420000","Hubei (province)","785.9000","925.2400"
"2004","Huangshi (city)","420200","City (Sub-provincial level)","420000","Hubei (province)","254.9000","556.2300"
"2004","Shiyan (city)","420300","City (Sub-provincial level)","420000","Hubei (province)","341.8000","144.3400"
"2004","Yichang (city)","420500","City (Sub-provincial level)","420000","Hubei (province)","398.5000","189.3400"
"2004","Xiangyang (city)","420600","City (Sub-provincial level)","420000","Hubei (province)","578.8000","293.4300"
"2004","Ezhou (city)","420700","City (Sub-provincial level)","420000","Hubei (province)","105.0000","700.2700"
"2004","Jingmen (city)","420800","City (Sub-provincial level)","420000","Hubei (province)","298.4000","240.5700"
"2004","Xiaogan (city)","420900","City (Sub-provincial level)","420000","Hubei (province)","507.2000","569.2500"
"2004","Jingzhou (city)","421000","City (Sub-provincial level)","420000","Hubei (province)","640.1000","450.6200"
"2004","Huanggang (city)","421100","City (Sub-provincial level)","420000","Hubei (province)","726.3000","416.3400"
"2004","Xianning (city)","421200","City (Sub-provincial level)","420000","Hubei (province)","277.0000","280.8800"
"2004","Suizhou (city)","421300","City (Sub-provincial level)","420000","Hubei (province)","257.7000","267.4600"
"2004","Changsha (city)","430100","City (Sub-provincial level)","430000","Hunan (province)","610.3800","516.4400"
"2004","Zhuzhou (city)","430200","City (Sub-provincial level)","430000","Hunan (province)","373.8400","329.0700"
"2004","Xiangtan (city)","430300","City (Sub-provincial level)","430000","Hunan (province)","282.8200","563.9500"
"2004","Hengyang (city)","430400","City (Sub-provincial level)","430000","Hunan (province)","718.9500","469.6000"
"2004","Shaoyang (city)","430500","City (Sub-provincial level)","430000","Hunan (province)","739.7000","355.1100"
"2004","Yueyang (city)","430600","City (Sub-provincial level)","430000","Hunan (province)","529.3500","350.8600"
"2004","Changde (city)","430700","City (Sub-provincial level)","430000","Hunan (province)","601.0500","330.4300"
"2004","Zhangjiajie (city)","430800","City (Sub-provincial level)","430000","Hunan (province)","157.2900","165.2900"
"2004","Yiyang (city)","430900","City (Sub-provincial level)","430000","Hunan (province)","458.5500","377.5900"
"2004","Chenzhou (city)","431000","City (Sub-provincial level)","430000","Hunan (province)","457.7100","236.0800"
"2004","Yongzhou (city)","431100","City (Sub-provincial level)","430000","Hunan (province)","571.8200","254.8100"
"2004","Huaihua (city)","431200","City (Sub-provincial level)","430000","Hunan (province)","495.2900","179.3000"
"2004","Loudi (city)","431300","City (Sub-provincial level)","430000","Hunan (province)","405.1000","499.0800"
"2004","Guangzhou (city)","440100","City (Prefectural level)","440000","Guangdong (province)","737.6700","992.2400"
"2004","Shaoguan (city)","440200","City (Sub-provincial level)","440000","Guangdong (province)","316.9800","172.4100"
