"Staper","Fresgn","Datasgn","Nationsgn","Nationnm_en","Eftm0201","Eftm0202"
"2001-02","M","B","429","Mexico","97960","199010"
"2001-02","M","B","137","Turkey","28610","127270"
"2001-02","M","B","138","United Arab Emirates","81820","303070"
"2001-02","M","B","321","Hungary","23010","132380"
"2001-02","M","B","141","Viet Nam","163040","218510"
"2001-02","M","B","113","Iran (Islamic Republic of)","381000","144550"
"2001-02","M","B","129","Philippines","300270","181800"
"2001-02","M","B","311","Portugal","7330","39190"
"2001-02","M","B","111","India","256380","264290"
"2001-02","M","B","145","Kazakhstan","165200","67030"
"2001-02","M","B","115","Israel","57740","126230"
"2001-02","M","B","127","Pakistan","80460","88540"
"2001-02","M","B","309","Netherlands","239220","1185040"
"2001-02","M","B","121","China, Macao","14220","82730"
"2001-02","M","B","307","Italy","512810","610430"
"2001-02","M","B","306","Ireland","87560","74510"
"2001-02","M","B","132","Singapore","763640","815170"
"2001-02","M","B","330","Sweden","358710","254680"
"2001-02","M","B","122","Malaysia","808040","355170"
"2001-02","M","B","136","Thailand","705950","394190"
"2001-02","M","B","304","Germany","1803940","1441270"
"2001-02","M","B","312","Spain","93910","333480"
"2001-02","M","B","502","United States of America","3571490","7175770"
"2001-02","M","B","126","Oman","385770","11520"
"2001-02","M","B","131","Saudi Arabia","278400","170210"
"2001-02","M","B","133","Republic of Korea","3300850","1616990"
"2001-02","M","B","116","Japan","6152170","6217680"
"2001-02","M","B","110","China, Hong Kong","1192110","5955680"
"2001-02","M","B","331","Switzerland","224670","125890"
"2001-02","M","B","112","Indonesia","600870","395030"
"2001-02","M","B","400","Latin America","579670","948740"
"2001-02","M","B","609","New Zealand","82210","68200"
"2001-02","M","B","327","Poland","9400","147360"
"2001-02","M","B","303","United Kingdom","467960","964640"
"2001-02","M","B","114","Iraq","73010","31930"
"2001-02","M","B","310","Greece","4780","129030"
"2001-02","M","B","236","Nigeria","11660","95220"
"2001-02","M","B","326","Norway","50640","58950"
"2001-02","M","A","126","Oman","223800","3110"
"2001-02","M","A","246","Sudan","48070","18590"
"2001-02","M","A","114","Iraq","73010","20220"
"2001-02","M","A","311","Portugal","3950","21910"
"2001-02","M","A","326","Norway","25270","30770"
"2001-02","M","A","609","New Zealand","43060","37010"
"2001-02","M","A","306","Ireland","46730","39040"
"2001-02","M","A","121","China, Macao","6380","41190"
"2001-02","M","A","331","Switzerland","111670","44750"
"2001-02","M","A","127","Pakistan","49440","50880"
"2001-02","M","A","236","Nigeria","10680","53270"
"2001-02","M","A","145","Kazakhstan","90520","53980"
"2001-02","M","A","432","Panama","470","58110"
"2001-02","M","A","137","Turkey","12480","63290"
"2001-02","M","A","321","Hungary","17050","65430"
"2001-02","M","A","115","Israel","32400","69190"
"2001-02","M","A","310","Greece","2570","71190"
"2001-02","M","A","330","Sweden","218680","72500"
"2001-02","M","A","327","Poland","3430","78390"
"2001-02","M","A","131","Saudi Arabia","164120","82880"
"2001-02","M","A","129","Philippines","152920","98350"
"2001-02","M","A","429","Mexico","53940","105230"
"2001-02","M","A","113","Iran (Islamic Republic of)","213360","107710"
"2001-02","M","A","141","Viet Nam","54230","135420"
"2001-02","M","A","111","India","133880","139610"
"2001-02","M","A","138","United Arab Emirates","56320","156480"
"2001-02","M","A","344","Russian Federation","500320","176360"
"2001-02","M","A","312","Spain","51450","177330"
"2001-02","M","A","122","Malaysia","440560","193520"
"2001-02","M","A","112","Indonesia","321530","219250"
"2001-02","M","A","136","Thailand","369310","259850"
"2001-02","M","A","307","Italy","272910","324980"
"2001-02","M","A","132","Singapore","406430","405180"
"2001-02","M","A","400","Latin America","326760","485340"
"2001-02","M","A","303","United Kingdom","259360","503280"
"2001-02","M","A","309","Netherlands","120610","625640"
"2001-02","M","A","304","Germany","1008210","777020"
"2001-02","M","A","133","Republic of Korea","1756590","897300"
"2001-02","M","A","110","China, Hong Kong","626690","3090690"
"2001-02","M","A","116","Japan","3587930","3609830"
"2001-02","M","A","502","United States of America","2074220","3659170"
"2001-02","M","A","244","South Africa","99950","68060"
"2001-02","M","B","244","South Africa","164540","126570"
"2001-02","M","B","500","Northern America","4053010","7644010"
"2001-02","M","A","500","Northern America","2309390","3903860"
"2001-03","M","A","200","Africa","425750","495960"
"2001-03","M","B","200","Africa","1149670","1285860"
"2001-03","M","A","600","Oceania","618790","362510"
"2001-03","M","B","600","Oceania","1331050","930020"
"2001-03","M","A","202","Angola","170","2770"
"2001-03","M","B","202","Angola","89820","8970"
"2001-03","M","A","402","Argentina","14490","51820"
"2001-03","M","B","402","Argentina","55510","121950"
"2001-03","M","A","601","Australia","557430","317200"
"2001-03","M","B","601","Australia","1147400","808780"
"2001-03","M","A","315","Austria","57420","38340"
"2001-03","M","B","315","Austria","146300","103800"
"2001-03","M","A","301","Belgium","181440","233920"
"2001-03","M","B","301","Belgium","396040","618190"
"2001-03","M","A","410","Brazil","80350","123530"
"2001-03","M","B","410","Brazil","314630","309560"
"2001-03","M","A","501","Canada","289810","273820"
"2001-03","M","B","501","Canada","769800","741790"
"2001-03","M","A","100","Asia","13122910","12717600"
"2001-03","M","B","100","Asia","33722560","31382100"
"2001-03","M","A","300","Europe","3888880","4235740"
"2001-03","M","B","300","Europe","10991710","11759740"
"2001-03","M","A","412","Chile","80700","69840"
"2001-03","M","B","412","Chile","190720","179360"
"2001-03","M","A","143","China,Taiwan","2393580","486800"
"2001-03","M","B","143","China,Taiwan","5927060","1071870"
"2001-03","M","A","302","Denmark","51140","87160"
"2001-03","M","B","302","Denmark","149610","177660"
"2001-03","M","A","318","Finland","298480","63570"
"2001-03","M","B","318","Finland","693530","197990"
"2001-03","M","A","305","France","311720","310200"
"2001-03","M","B","305","France","959700","898520"
"2001-03","M","B","246","Sudan","233600","48460"
"2001-03","M","B","432","Panama","740","215570"
"2001-03","M","B","327","Poland","43770","242830"
"2001-03","M","B","137","Turkey","45360","219190"
"2001-03","M","B","113","Iran (Islamic Republic of)","571850","251850"
"2001-03","M","B","429","Mexico","162640","333560"
"2001-03","M","B","344","Russian Federation","1853600","539890"
"2001-03","M","B","129","Philippines","489160","325410"
"2001-03","M","B","321","Hungary","34620","235170"
"2001-03","M","B","127","Pakistan","141670","141720"
"2001-03","M","B","141","Viet Nam","244260","379570"
"2001-03","M","B","131","Saudi Arabia","551630","263680"
"2001-03","M","B","138","United Arab Emirates","118100","516580"
"2001-03","M","B","111","India","421720","435560"
"2001-03","M","B","121","China, Macao","23560","133490"
"2001-03","M","B","306","Ireland","133580","113110"
"2001-03","M","B","309","Netherlands","355190","1818930"
"2001-03","M","B","307","Italy","830540","990490"
"2001-03","M","B","145","Kazakhstan","234100","103720"
"2001-03","M","B","115","Israel","85030","210110"
"2001-03","M","B","132","Singapore","1306190","1382660"
"2001-03","M","B","311","Portugal","10440","64450"
"2001-03","M","B","304","Germany","2893040","2260670"
"2001-03","M","B","122","Malaysia","1345370","581720"
"2001-03","M","B","312","Spain","148850","543640"
"2001-03","M","B","502","United States of America","5698150","11564090"
"2001-03","M","B","136","Thailand","1112860","600680"
"2001-03","M","B","330","Sweden","565600","329390"
"2001-03","M","B","331","Switzerland","361530","178500"
"2001-03","M","B","116","Japan","9993580","10565240"
"2001-03","M","B","110","China, Hong Kong","2015790","9867790"
"2001-03","M","B","133","Republic of Korea","5428610","2672930"
"2001-03","M","B","400","Latin America","878340","1603520"
"2001-03","M","B","303","United Kingdom","774190","1505690"
"2001-03","M","B","112","Indonesia","969490","691630"
"2001-03","M","B","609","New Zealand","131590","107970"
"2001-03","M","B","236","Nigeria","44590","166090"
"2001-03","M","B","126","Oman","506070","13890"
"2001-03","M","B","310","Greece","9520","188030"
"2001-03","M","B","114","Iraq","73010","80030"
"2001-03","M","B","326","Norway","87750","88380"
"2001-03","M","A","126","Oman","120300","2370"
"2001-03","M","A","246","Sudan","95690","18790"
"2001-03","M","A","311","Portugal","3110","25260"
"2001-03","M","A","326","Norway","37110","29430"
"2001-03","M","A","145","Kazakhstan","68900","36690"
"2001-03","M","A","306","Ireland","46020","38600"
"2001-03","M","A","609","New Zealand","49380","39770"
"2001-03","M","A","114","Iraq","0","48100"
"2001-03","M","A","121","China, Macao","9340","50760"
"2001-03","M","A","331","Switzerland","136860","52610"
"2001-03","M","A","127","Pakistan","61210","53180"
"2001-03","M","A","310","Greece","4740","59000"
"2001-03","M","A","236","Nigeria","32930","70870"
"2001-03","M","A","330","Sweden","206890","74710"
"2001-03","M","A","115","Israel","27290","83880"
"2001-03","M","A","432","Panama","140","90910"
"2001-03","M","A","137","Turkey","16750","91920"
"2001-03","M","A","131","Saudi Arabia","273230","93470"
"2001-03","M","A","327","Poland","34370","95470"
"2001-03","M","A","321","Hungary","11610","102790"
"2001-03","M","A","113","Iran (Islamic Republic of)","190850","107300"
"2001-03","M","A","429","Mexico","64680","134550"
"2001-03","M","A","129","Philippines","188890","143610"
"2001-03","M","A","141","Viet Nam","81220","161060"
"2001-03","M","A","111","India","165340","171270"
"2001-03","M","A","344","Russian Federation","446170","188160"
"2001-03","M","A","136","Thailand","406910","206490"
"2001-03","M","A","312","Spain","54940","210160"
"2001-03","M","A","138","United Arab Emirates","36280","213510"
"2001-03","M","A","122","Malaysia","537330","226550"
"2001-03","M","A","112","Indonesia","368620","296600"
"2001-03","M","A","307","Italy","317730","380060"
"2001-03","M","A","303","United Kingdom","306230","541050"
"2001-03","M","A","132","Singapore","542550","567490"
"2001-03","M","A","309","Netherlands","115970","633890"
"2001-03","M","A","400","Latin America","298670","654780"
"2001-03","M","A","304","Germany","1089100","819400"
"2001-03","M","A","133","Republic of Korea","2127760","1055940"
"2001-03","M","A","110","China, Hong Kong","823680","3912110"
"2001-03","M","A","116","Japan","3841410","4347560"
"2001-03","M","A","502","United States of America","2126660","4388320"
"2001-03","M","A","244","South Africa","107810","89790"
"2001-03","M","B","244","South Africa","272350","216360"
"2001-03","M","B","500","Northern America","6470040","12312810"
"2001-03","M","A","500","Northern America","2417030","4668800"
"2001-04","M","A","200","Africa","491860","541600"
"2001-04","M","B","200","Africa","1641530","1827460"
"2001-04","M","A","600","Oceania","586640","292960"
"2001-04","M","B","600","Oceania","1917690","1222980"
"2001-04","M","A","202","Angola","70110","2440"
"2001-04","M","B","202","Angola","159930","11410"
"2001-04","M","A","402","Argentina","30890","53190"
"2001-04","M","B","402","Argentina","86400","175140"
"2001-04","M","A","601","Australia","506880","257200"
"2001-04","M","B","601","Australia","1654280","1065980"
"2001-04","M","A","315","Austria","72710","29230"
"2001-04","M","B","315","Austria","219010","133030"
"2001-04","M","A","301","Belgium","157400","194630"
"2001-04","M","B","301","Belgium","553440","812820"
"2001-04","M","A","410","Brazil","125750","92890"
"2001-04","M","B","410","Brazil","440380","402450"
"2001-04","M","A","501","Canada","405920","309740"
"2001-04","M","B","501","Canada","1175720","1051530"
"2001-04","M","A","100","Asia","13389140","12024710"
"2001-04","M","B","100","Asia","47111700","43406810"
"2001-04","M","A","300","Europe","4196250","4186070"
"2001-04","M","B","300","Europe","15187960","15945810"
"2001-04","M","A","412","Chile","122190","62790"
"2001-04","M","B","412","Chile","312910","242150"
"2001-04","M","A","143","China,Taiwan","2314150","443140"
"2001-04","M","B","143","China,Taiwan","8241210","1515010"
"2001-04","M","A","302","Denmark","56820","62940"
"2001-04","M","B","302","Denmark","206430","240600"
"2001-04","M","A","318","Finland","224620","74080"
"2001-04","M","B","318","Finland","918150","272070"
"2001-04","M","A","305","France","333710","343540"
"2001-04","M","B","305","France","1293410","1242060"
"2001-04","M","B","246","Sudan","308830","72060"
"2001-04","M","B","432","Panama","740","318340"
"2001-04","M","B","327","Poland","52630","332870"
"2001-04","M","B","137","Turkey","54400","275020"
"2001-04","M","B","429","Mexico","233430","471280"
"2001-04","M","B","115","Israel","153960","288240"
"2001-04","M","B","131","Saudi Arabia","807320","373910"
"2001-04","M","B","141","Viet Nam","381410","543430"
"2001-04","M","B","113","Iran (Islamic Republic of)","785830","294490"
"2001-04","M","B","321","Hungary","51690","339600"
"2001-04","M","B","236","Nigeria","84470","250270"
"2001-04","M","B","344","Russian Federation","2383440","728850"
"2001-04","M","B","129","Philippines","652210","461820"
"2001-04","M","B","111","India","633240","570320"
"2001-04","M","B","138","United Arab Emirates","148800","707100"
"2001-04","M","B","127","Pakistan","198000","202610"
"2001-04","M","B","121","China, Macao","35470","199100"
"2001-04","M","B","307","Italy","1174960","1380700"
"2001-04","M","B","306","Ireland","182300","149770"
"2001-04","M","B","304","Germany","4111660","3060780"
"2001-04","M","B","312","Spain","224530","745250"
"2001-04","M","B","309","Netherlands","467240","2461850"
"2001-04","M","B","122","Malaysia","1844540","802280"
"2001-04","M","B","311","Portugal","14620","87020"
"2001-04","M","B","136","Thailand","1530960","825840"
"2001-04","M","B","145","Kazakhstan","303490","126530"
"2001-04","M","B","132","Singapore","1746530","1885530"
