CRE_Cmect,,,,,,,
年度标识,AreaID,县域名称,隶属城市,隶属省份,土地面积,年末总人口,地区生产总值
2000,20407095,会东县,凉山彝族自治州,四川省,,,138629.00
2000,20407096,宁南县,凉山彝族自治州,四川省,,,63951.00
2000,20407097,普格县,凉山彝族自治州,四川省,,,33045.00
2000,20407458,布拖县,凉山彝族自治州,四川省,,,24979.00
2000,20407459,金阳县,凉山彝族自治州,四川省,,,27024.00
2000,20407460,昭觉县,凉山彝族自治州,四川省,,,36007.00
2000,20407461,喜德县,凉山彝族自治州,四川省,,,34855.00
2000,20407462,冕宁县,凉山彝族自治州,四川省,,,109202.00
2000,20407463,越西县,凉山彝族自治州,四川省,,,50671.00
2000,20407464,甘洛县,凉山彝族自治州,四川省,,,67455.00
2000,20407465,美姑县,凉山彝族自治州,四川省,,,26513.00
2000,20407539,雷波县,凉山彝族自治州,四川省,,,43986.00
2000,20406773,城中区,西宁市,青海省,,,
2000,20406774,城西区,西宁市,青海省,,,
2000,20406772,城东区,西宁市,青海省,,,
2000,20406775,城北区,西宁市,青海省,,,
2000,20406776,大通回族土族自治县,西宁市,青海省,,,184589.00
2000,20406777,湟中县,西宁市,青海省,,,88282.00
2000,20406849,湟源县,西宁市,青海省,,,26155.00
2000,20406851,平安县,海东市,青海省,,,54660.00
2000,20406852,民和回族土族自治县,海东市,青海省,,,84003.00
2000,20406853,乐都区,海东市,青海省,,,78440.00
2000,20406854,互助土族自治县,海东市,青海省,,,106360.00
2000,20406855,化隆回族自治县,海东市,青海省,,,37420.00
2000,20406856,循化撒拉族自治县,海东市,青海省,,,28465.00
2000,20406858,门源回族自治县,海北藏族自治州,青海省,,,37594.00
2000,20406859,祁连县,海北藏族自治州,青海省,,,23099.00
2000,20406860,海晏县,海北藏族自治州,青海省,,,25693.00
2000,20406861,刚察县,海北藏族自治州,青海省,,,19225.00
2000,20406863,同仁县,黄南藏族自治州,青海省,,,32523.00
2000,20406864,尖扎县,黄南藏族自治州,青海省,,,66927.00
2000,20406865,泽库县,黄南藏族自治州,青海省,,,17072.00
2000,20407047,河南蒙古族自治县,黄南藏族自治州,青海省,,,17053.00
2000,20407049,共和县,海南藏族自治州,青海省,,,77831.00
2000,20407050,同德县,海南藏族自治州,青海省,,,14612.00
2000,20407124,贵德县,海南藏族自治州,青海省,,,18092.00
2000,20407125,兴海县,海南藏族自治州,青海省,,,15554.00
2000,20407126,贵南县,海南藏族自治州,青海省,,,19339.00
2000,20407128,玛沁县,果洛藏族自治州,青海省,,,21542.00
2000,20407129,班玛县,果洛藏族自治州,青海省,,,7226.00
2000,20407130,甘德县,果洛藏族自治州,青海省,,,5911.00
2000,20407131,达日县,果洛藏族自治州,青海省,,,5283.00
2000,20407132,久治县,果洛藏族自治州,青海省,,,5773.00
2000,20407133,玛多县,果洛藏族自治州,青海省,,,4601.00
2000,20407135,玉树市,玉树藏族自治州,青海省,,,14199.00
2000,20407136,杂多县,玉树藏族自治州,青海省,,,12061.00
2000,20407137,称多县,玉树藏族自治州,青海省,,,7886.00
2000,20407138,治多县,玉树藏族自治州,青海省,,,7720.00
2000,20407139,囊谦县,玉树藏族自治州,青海省,,,9577.00
2000,20407140,曲麻莱县,玉树藏族自治州,青海省,,,8431.00
2000,20407142,格尔木市,海西蒙古族藏族自治州,青海省,,,167409.00
2000,20407143,德令哈市,海西蒙古族藏族自治州,青海省,,,40040.00
2000,20407144,乌兰县,海西蒙古族藏族自治州,青海省,,,9263.00
2000,20407244,都兰县,海西蒙古族藏族自治州,青海省,,,16474.00
2000,20407245,天峻县,海西蒙古族藏族自治州,青海省,,,8943.00
2000,20407634,城关区,兰州市,甘肃省,,,1206528.00
2000,20407635,七里河区,兰州市,甘肃省,,,439200.00
2000,20407636,西固区,兰州市,甘肃省,,,744703.00
2000,20407637,安宁区,兰州市,甘肃省,,,120700.00
2000,20406778,红古区,兰州市,甘肃省,,,154800.00
2000,20406779,永登县,兰州市,甘肃省,,,234716.00
2000,20406876,皋兰县,兰州市,甘肃省,,,71700.00
2000,20406877,榆中县,兰州市,甘肃省,,,81510.00
2000,20406882,金川区,金昌市,甘肃省,,,228459.00
2000,20406883,永昌县,金昌市,甘肃省,,,122287.00
2000,20406886,白银区,白银市,甘肃省,,,372942.00
2000,20406887,平川区,白银市,甘肃省,,,139246.00
2000,20406888,靖远县,白银市,甘肃省,,,104618.00
2000,20406889,会宁县,白银市,甘肃省,,,70600.00
2000,20406890,景泰县,白银市,甘肃省,,,78396.00
2000,20406893,秦州区,天水市,甘肃省,,,247243.00
2000,20406894,麦积区,天水市,甘肃省,,,177153.00
2000,20406895,清水县,天水市,甘肃省,,,27709.00
2000,20406896,秦安县,天水市,甘肃省,,,55000.00
2000,20406897,甘谷县,天水市,甘肃省,,,66050.00
2000,20406898,武山县,天水市,甘肃省,,,50765.00
2000,20406899,张家川回族自治县,天水市,甘肃省,,,24872.00
2000,20407108,玉门市,酒泉市,甘肃省,,,253981.00
2000,20407109,敦煌市,酒泉市,甘肃省,,,89414.00
2000,20406950,金塔县,酒泉市,甘肃省,,,83067.00
2000,20407106,肃北蒙古族自治县,酒泉市,甘肃省,,,11972.00
2000,20407107,阿克塞哈萨克族自治县,酒泉市,甘肃省,,,11737.00
2000,20406951,瓜州县,酒泉市,甘肃省,,,55429.00
2000,20406933,肃南裕固族自治县,张掖市,甘肃省,,,22450.00
2000,20406934,民乐县,张掖市,甘肃省,,,91100.00
2000,20406935,临泽县,张掖市,甘肃省,,,77087.00
2000,20406936,高台县,张掖市,甘肃省,,,75898.00
2000,20406937,山丹县,张掖市,甘肃省,,,105234.00
2000,20406927,民勤县,武威市,甘肃省,,,87600.00
