CRE_Gdp01(Merge Query)
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2020,610000,陕西省,26181.8600,66291.5800,3955.0000,5459581.0792,2788957.2073,2670623.8719,6287.0000,1832.7178,893.8054
2020,510000,四川省,48598.7600,58125.5400,8371.0000,11689817.1291,6723694.0156,4966123.1135,13545.0000,2962.7873,1476.9799
2020,340000,安徽省,38680.6300,63426.4700,6105.0000,7870404.0511,4557872.3732,3312531.6779,8281.0000,3227.0386,1022.2159
2020,530000,云南省,24521.9000,51975.2000,4722.0000,3912838.2847,2213683.9428,1699154.3419,6062.0000,1424.3114,632.2836
2020,410000,河南省,54997.0700,55435.0100,9941.0000,9726670.9148,5929639.9111,3797031.0037,10243.0000,1119.1976,746.5370
2020,330000,浙江省,64613.3400,100620.3200,6468.0000,48854280.6443,36310992.1884,12543288.4559,44024.0000,5892.6401,3750.7294
2020,310000,上海市,38700.5800,155768.0800,2488.3600,50383136.3241,19804360.9075,30578775.4166,92922.0000,10333.9458,7139.2233
2020,110000,北京市,36102.5500,164889.4700,2189.3000,33647807.9576,6714936.9019,26932871.0557,32545.0000,6469.0716,4200.6539
2020,150000,内蒙古自治区,17359.8200,72062.3500,2402.8000,1522270.0534,504004.5337,1018265.5197,3329.0000,560.8426,208.4437
2020,140000,山西省,17651.9300,50527.9200,3490.5000,2184201.4568,1268292.5521,915908.9047,3617.0000,925.5895,614.8811
2020,130000,河北省,36206.8900,48564.0000,7463.8400,6447022.6402,3644803.7673,2802218.8729,10088.0000,2254.0192,1057.8287
2020,360000,江西省,25691.5000,56871.0600,4518.8635,5802583.6012,4205576.0099,1597007.5913,6813.0000,1330.8596,817.1449
2020,350000,福建省,43903.8900,105818.0000,4161.0000,20358082.2222,12238298.1855,8119784.0367,31638.0000,3152.5499,1990.2264
2020,320000,江苏省,102718.9800,121230.9500,8477.2600,64283183.9133,39612675.5928,24670508.3205,63031.0000,13697.2937,7344.9310
2020,620000,甘肃省,9016.7000,35994.8100,2501.0200,552972.8567,123768.2172,429204.6395,2532.0000,259.3102,185.1593
2020,220000,吉林省,12311.3200,50799.7500,2399.4400,1852632.5425,420647.5372,1431985.0053,4249.0000,707.7370,442.8561
2020,520000,贵州省,17826.5600,46266.7000,3858.0000,791068.8523,622673.8605,168394.9918,3184.0000,835.7348,409.2379
2020,370000,山东省,73129.0000,72151.3500,10165.0000,32021039.0393,18891973.1601,13129065.8792,35378.0000,12073.0832,7721.8611
2020,440000,广东省,110760.9400,88210.0400,12624.0000,102402445.5963,62825717.3294,39576728.2669,175397.0000,21671.8083,9855.0062
2020,120000,天津市,14083.7300,101614.2100,1386.6000,10632181.5611,4434874.1685,6197307.3926,15151.0000,3064.2347,2523.4247
2020,420000,湖北省,43443.4600,74440.4700,5775.2600,6224567.5980,3906261.1160,2318306.4820,12468.0000,2370.7094,1308.8390
2020,540000,西藏自治区,1902.7400,52344.9800,364.8100,31053.2414,18809.3826,12243.8588,282.0000,28.5869,19.0728
2020,630000,青海省,3005.9200,50818.6000,,33279.9965,17792.8884,15487.1081,663.0000,78.1853,29.3586
2020,210000,辽宁省,25114.9600,58872.3900,4255.0000,9482832.0349,3832684.9433,5650147.0916,16257.0000,4157.3088,2382.8895
2020,142,中国,1013567.0022,71828.1484,141212.0000,,,,,,
2019,420000,湖北省,45828.3100,77386.5400,5927.0000,5716060.2499,3599534.9408,2116525.3091,12378.0000,1864.3772,1031.8656
2019,540000,西藏自治区,1697.8200,48902.0000,351.0000,70286.3213,54082.9474,16203.3739,278.0000,26.6498,18.2109
2019,650000,新疆维吾尔自治区,13597.1100,54280.0000,2523.0000,2370734.8298,1804431.4117,566303.4181,1932.0000,241.2289,161.9295
2019,430000,湖南省,39752.1200,57540.2600,6918.0000,6284983.5068,4454073.8375,1830909.6693,9870.0000,1841.2582,797.5153
2019,460000,海南省,5308.9300,56506.8300,945.0000,1315274.7773,498703.2078,816571.5695,3319.0000,1045.2847,813.3644
2019,640000,宁夏回族自治区,3748.4800,54217.0000,695.0000,348961.0798,215930.0509,133031.0289,898.0000,264.6254,120.3403
2019,340000,安徽省,37113.9800,58495.5700,6366.0000,6873032.4393,4041111.6459,2831920.7934,7903.0000,1656.4258,854.3637
2019,230000,黑龙江省,13612.6800,36182.7700,3751.0000,2710864.4974,506850.9715,2204013.5259,5296.0000,460.4610,287.6439
2019,620000,甘肃省,8718.3000,32994.5600,2647.0000,552008.7691,190699.5930,361309.1761,2554.0000,256.1650,184.8115
