"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元","备注",
"502","美国","84862029","其他制半导体件或集成电路用薄膜沉积设备","59","台","268725","千克","205,824,831","-",
"502","美国","34039900","不含石油或从沥青矿物提取油类的润滑剂","19507448","千克","0","?","200,328,478","-",
"502","美国","39081011","聚酰胺-6，6的切片","54843022","千克","0","?","200,068,914","-",
"502","美国","73269019","其他工业用钢铁制品","2802386","千克","0","?","198,540,266","-",
"502","美国","39074000","初级形状的聚碳酸酯","78490596","千克","0","?","197,140,640","-",
"502","美国","90213100","人造关节","494759","千克","2350771","套","196,111,781","-",
"502","美国","85389000","品目8535、8536或8537所列装置的其他零件","2508276","千克","0","?","193,089,990","-",
"502","美国","90278120","质谱联用仪","1281","台","282448","千克","191,350,545","-",
"502","美国","26070000","铅矿砂及其精矿","139262875","千克","0","?","190,486,950","-",
"502","美国","02022000","冻带骨牛肉","23395526","千克","0","?","190,404,888","-",
"502","美国","29419090","未列名抗菌素","200082","千克","0","?","190,224,246","-",
"502","美国","39121100","初级形状的未塑化醋酸纤维素","47488170","千克","0","?","188,196,697","-",
"502","美国","84818039","其他流量阀","1226202","套","800567","千克","187,578,440","-",
"502","美国","90219011","血管支架","42955","千克","1062718","个","186,843,184","-",
"502","美国","39014090","其他初级形状的乙烯-α-烯烃共聚物，比重＜0.94","87274817","千克","0","?","186,063,846","-",
"502","美国","39019090","未列名初级形状的乙烯聚合物","69945956","千克","0","?","185,724,623","-",
"502","美国","90221400","其他，医疗、外科或兽医用X射线应用设备","213","台","850711","千克","185,511,604","-",
"502","美国","03063290","活、鲜或冷的螯龙虾，种苗除外","7905327","千克","0","?","182,552,784","-",
"502","美国","90181291","彩色超声波诊断仪","148606","台","276178","千克","182,420,207","-",
"502","美国","39100000","初级形状的聚硅氧烷","24626606","千克","0","?","178,801,738","-",
"502","美国","84839000","单独报验的带齿的轮等；8483货品的其他零件","8006229","千克","0","?","174,909,332","-",
"502","美国","90273000","使用光学射线的分光仪、分光光度计及摄谱仪","76856","台","153900","千克","174,042,282","-",
"502","美国","38180090","其他经掺杂用于电子工业的已切片化学元素等","10301","千克","0","?","173,613,260","-",
"502","美国","30024200","兽用疫苗","766051","千克","0","?","172,390,394","-",
"502","美国","23012010","饲料用鱼粉","79308343","千克","0","?","172,359,152","-",
"502","美国","28401900","其他四硼酸钠","276615134","千克","0","?","170,681,212","-",
"502","美国","38210000","制成的微生物或植物、人体、动物细胞培养基","2448290","千克","0","?","169,356,557","-",
"502","美国","90212900","牙齿固定件","63423","千克","0","?","169,182,997","-",
"502","美国","84715040","微型机的处理部件","26792","台","269011","千克","163,378,900","-",
"502","美国","84213200","用于净化或过滤内燃机所排出废气的催化转化器或微粒过滤器，不论是否组合","41233","个","1674816","千克","161,715,306","-",
"502","美国","38112100","含石油或从沥青矿物提取油类的润滑油添加剂","28783648","千克","0","?","161,343,141","-",
"502","美国","75062000","镍合金板、片、带、箔","3610752","千克","0","?","160,848,811","-",
"502","美国","84834090","齿轮及其他变速、传动装置；滚珠螺杆传动轴","1104112","个","4716015","千克","158,122,153","-",
"502","美国","90219090","其他为弥补生理缺陷或残疾而穿戴、携带或植入人体内的其他器具","53656","千克","0","?","157,407,219","-",
"502","美国","90183220","缝合用针","219602","千克","0","?","156,725,374","-",
"502","美国","87089999","品目8701至8704所列其他车辆用未列名零、附件","13790790","千克","0","?","155,606,331","-",
"502","美国","90019090","未列名未装配的光学元件","938954","千克","0","?","155,361,515","-",
"502","美国","84213990","其他非家用型气体的过滤、净化机器及装置","874804","个","1097776","千克","152,021,765","-",
"502","美国","90221990","未列名X射线的应用设备","4042","台","174303","千克","151,814,131","-",
"502","美国","03033900","其他冻比目鱼","80275915","千克","0","?","150,946,405","-",
"502","美国","39029000","其他初级形状的烯烃聚合物","42290153","千克","0","?","150,487,828","-",
"502","美国","97019119","100年及以下的其他油画、粉画及其他手绘画原件","1363","幅","11321","千克","147,875,164","-",
"502","美国","87034062","同时装有点燃式活塞内燃发动机及驱动电动机的越野车（4轮驱动），3000cc＜排量≤4000cc，不可接插外部电源充电","1959","辆","4758489","千克","147,043,778","-",
"502","美国","26161000","银矿砂及其精矿","41075923","千克","0","?","146,230,278","-",
"502","美国","26011110","平均粒度＜0.8mm未烧结铁矿砂及其精矿","1083197732","千克","0","?","144,849,205","-",
"502","美国","08021100","未去壳扁桃核","44824899","千克","0","?","144,364,689","-",
"502","美国","39072990","初级形状的其他聚醚","42346770","千克","0","?","142,898,291","-",
"502","美国","39069090","其他初级形状的丙烯酸聚合物","19714104","千克","0","?","142,482,501","-",
"502","美国","84831090","其他传动轴及曲柄","8914569","个","3000821","千克","142,148,546","-",
"502","美国","87032412","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），3000cc＜排量≤4000cc","1389","辆","3589243","千克","139,343,258","-",
"502","美国","28459000","品目2844以外的其他同位素及其无机或有机化合物","10956658","克","50","百万贝可","138,233,601","-",
"502","美国","39041090","其他初级形状的聚氯乙烯，未掺其他物质","190684585","千克","0","?","137,882,466","-",
"502","美国","39013000","初级形状的乙烯-乙酸乙烯酯共聚物","89748833","千克","0","?","136,913,152","-",
"502","美国","39119000","初级形状多硫化物、聚砜及章注3所规定产品","9739124","千克","0","?","136,355,545","-",
"502","美国","90158000","其他大地及水道测量海洋气象地球物理用仪器","33286","台","206603","千克","136,083,337","-",
"502","美国","90181400","闪烁摄影装置","8988","台","703037","千克","135,386,840","-",
"502","美国","84819010","阀门零件","1300369","千克","0","?","133,548,804","-",
"502","美国","90309000","品目9030所列仪器和装置的零件及附件","139053","千克","0","?","133,337,373","-",
"502","美国","84119990","未列名燃气轮机的零件","310205","千克","0","?","130,880,998","-",
"502","美国","90181990","未列名电气诊断装置","324653","台","147298","千克","130,757,214","-",
"502","美国","90181390","核磁共振成像装置的零件","215972","个","861561","千克","130,194,562","-",
"502","美国","03031200","其他冻大麻哈鱼","55035499","千克","0","?","130,044,207","-",
"502","美国","81089090","其他锻轧钛及钛制品","213148","千克","0","?","128,999,150","-",
"502","美国","90262090","其他测量、检验压力的仪器及装置","1438596","个","194467","千克","128,707,111","-",
"502","美国","90181310","成套的核磁共振成像装置","65","套","796895","千克","128,151,298","-",
"502","美国","44039100","栎木（橡木）原木","270970678","千克","263197","立方米","127,453,852","-",
"502","美国","84148049","未列名空气及其他气体压缩机","9535","台","2284571","千克","126,337,351","-",
"502","美国","85241990","其他平板显示模组，不含驱动器或控制电路","642877","个","170610","千克","124,699,667","-",
"502","美国","90189080","手术机器人","5366","台","102115","千克","124,119,461","-",
"502","美国","84812010","油压传动阀","6237935","套","1178711","千克","123,710,317","-",
"502","美国","02032200","冻带骨猪前腿、猪后腿及其肉块","58590087","千克","0","?","123,380,142","-",
"502","美国","17021100","无水乳糖，重量计干燥状态的乳糖含量≥99％","136094518","千克","0","?","123,064,079","-",
"502","美国","90271000","气体或烟雾分析仪","492829","台","232155","千克","122,834,109","-",
