"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","39209990","未列名非泡沫塑料板、片、膜、箔及扁条","6290170","千克","0","?","264,006,385",
"502","美国","27131190","其他未煅烧石油焦","1946414161","千克","0","?","261,794,481",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","26435131","千克","0","?","258,248,400",
"502","美国","37024292","未曝光红色或红外激光胶片，宽＞610mm，长＞200m","12734949","千克","50249394","平方米","256,033,585",
"502","美国","84862022","制造半导体器件或IC的物理气相沉积装置","130","台","487350","千克","253,537,198",
"502","美国","29419090","未列名抗菌素","323812","千克","0","?","251,037,648",
"502","美国","90223000","X射线管","16982","个","481007","千克","250,342,255",
"502","美国","24012010","部分或全部去梗的烤烟","24789602","千克","0","?","249,961,068",
"502","美国","87084091","品目87.03所列车辆用自动换挡变速箱及其零件","18951201","个","10633573","千克","247,577,024",
"502","美国","26080000","锌矿砂及其精矿","177573802","千克","0","?","240,278,700",
"502","美国","23011019","其他动物的肉骨粉","249682362","千克","0","?","237,883,016",
"502","美国","04041000","乳清及改性乳清，不论是否浓缩、加糖或其他甜物质","295610808","千克","0","?","237,483,503",
"502","美国","87038000","仅装有驱动电动机的主要用于载人的机动车","3353","辆","8689764","千克","234,467,697",
"502","美国","39269010","塑料制机器及仪器用零件","1122394","千克","0","?","230,496,912",
"502","美国","30042090","未列名含有抗菌素的药品，已配定剂量或制成零售包装","3763990","千克","0","?","229,165,227",
"502","美国","02071422","冻鸡爪","44960189","千克","0","?","228,063,161",
"502","美国","75051200","镍合金条、杆、型材及异型材","4966172","千克","0","?","225,335,361",
"502","美国","05040029","其他动物的胃","43387249","千克","0","?","223,791,127",
"502","美国","90319000","品目9031所列仪器、器具及机器的零件及附件","353219","千克","0","?","220,379,870",
"502","美国","90229090","X光发生器等、检查用家具等；9022设备零件","713120","个","631742","千克","217,387,322",
"502","美国","70091000","车辆后视镜","2065006","千克","0","?","216,412,178",
"502","美国","84212990","未列名液体过滤、净化机器及装置","15993386","个","1391899","千克","215,744,957",
"502","美国","85369011","工作电压不超过36伏的接插件","2249883","千克","0","?","214,477,991",
"502","美国","85241990","其他平板显示模组，不含驱动器或控制电路","3025130","个","256147","千克","210,998,777",
"502","美国","47020000","化学木浆、溶解级","150241783","千克","0","?","207,679,363",
"502","美国","39121100","初级形状的未塑化醋酸纤维素","45976196","千克","0","?","207,245,157",
"502","美国","84818039","其他流量阀","979152","套","667121","千克","205,041,713",
"502","美国","38112100","含石油或从沥青矿物提取油类的润滑油添加剂","38826504","千克","0","?","203,267,859",
"502","美国","73269019","其他工业用钢铁制品","2243008","千克","0","?","201,282,524",
"502","美国","44079930","经纵锯切、刨或旋切的北美硬阔叶木材，厚＞6mm","135003342","千克","220840","立方米","199,750,279",
"502","美国","26070000","铅矿砂及其精矿","134933202","千克","0","?","197,116,183",
"502","美国","84195000","热交换装置","11062","台","2299998","千克","193,016,589",
"502","美国","39014090","其他初级形状的乙烯-α-烯烃共聚物，比重＜0.94","99945253","千克","0","?","190,221,283",
"502","美国","39100000","初级形状的聚硅氧烷","22158510","千克","0","?","189,828,561",
"502","美国","87043100","仅装有点燃式活塞内燃发动机,车辆总重量不超过5吨的其他货车","3515","辆","8644992","千克","189,683,993",
"502","美国","90219011","血管支架","31890","千克","1132405","个","189,003,749",
"502","美国","29333990","未列名结构上含有一个非稠合吡啶环的化合物","2125848","千克","0","?","186,923,583",
"502","美国","87036032","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的越野车（4轮驱动），1500cc＜排量≤2000cc，可接插外部电源充电","3250","辆","8233090","千克","184,150,794",
"502","美国","38180090","其他经掺杂用于电子工业的已切片化学元素等","15547","千克","0","?","179,074,895",
"502","美国","44039100","栎木（橡木）原木","320979634","千克","320120","立方米","178,398,779",
"502","美国","90213900","其他人造的人体部分","100448","千克","1434392","个","178,391,389",
"502","美国","84213990","其他非家用型气体的过滤、净化机器及装置","1065312","个","965970","千克","173,699,939",
"502","美国","85389000","品目8535、8536或8537所列装置的其他零件","2075212","千克","0","?","173,500,707",
"502","美国","39029000","其他初级形状的烯烃聚合物","51380860","千克","0","?","173,292,436",
"502","美国","38210000","制成的微生物或植物、人体、动物细胞培养基","2471185","千克","0","?","172,489,933",
"502","美国","28362000","碳酸钠（纯碱）","764476571","千克","0","?","172,032,464",
"502","美国","84839000","单独报验的带齿的轮等；8483货品的其他零件","7419853","千克","0","?","171,826,305",
"502","美国","34039900","不含石油或从沥青矿物提取油类的润滑剂","14057323","千克","0","?","170,985,200",
"502","美国","84119990","未列名燃气轮机的零件","233666","千克","0","?","170,214,956",
"502","美国","39019090","未列名初级形状的乙烯聚合物","69686749","千克","0","?","170,072,503",
"502","美国","87032343","仅装有点燃式活塞内燃发动机的小客车（9座及以下），1500cc＜排量≤2000cc","2087","辆","4914161","千克","169,300,640",
"502","美国","84862090","其他制半导体器件或集成电路用的机器及装置","297","台","317155","千克","169,119,791",
"502","美国","90278190","其他质谱仪","3294","台","231633","千克","167,777,363",
"502","美国","16023299","其他制作或保藏的鸡肉及食用杂碎","43931336","千克","0","?","167,772,669",
"502","美国","90183220","缝合用针","226191","千克","0","?","167,343,726",
"502","美国","81089090","其他锻轧钛及钛制品","184556","千克","0","?","166,088,289",
"502","美国","90213100","人造关节","354447","千克","1921699","套","162,170,711",
"502","美国","90019090","未列名未装配的光学元件","1130038","千克","0","?","160,384,847",
"502","美国","84831090","其他传动轴及曲柄","9757878","个","2702137","千克","159,733,566",
"502","美国","03063290","活、鲜或冷的螯龙虾，种苗除外","6486189","千克","0","?","159,590,914",
"502","美国","90273000","使用光学射线的分光仪、分光光度计及摄谱仪","78817","台","141464","千克","156,776,920",
"502","美国","39206200","聚对苯二甲酸乙二酯非泡沫塑料板、片、膜等","12737669","千克","0","?","155,596,471",
"502","美国","90309000","品目9030所列仪器和装置的零件及附件","121359","千克","0","?","153,793,300",
"502","美国","84834090","齿轮及其他变速、传动装置；滚珠螺杆传动轴","1120747","个","3898321","千克","151,490,256",
"502","美国","87032412","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），3000cc＜排量≤4000cc","1033","辆","2779382","千克","151,071,397",
"502","美国","39069090","其他初级形状的丙烯酸聚合物","22287409","千克","0","?","147,896,711",
"502","美国","84148049","未列名空气及其他气体压缩机","11194","台","1760994","千克","147,226,108",
"502","美国","35022000","乳白蛋白，两种或两种以上的乳清蛋白浓缩物","13476635","千克","0","?","147,200,824",
"502","美国","10011900","其他硬粒小麦","434365871","千克","0","?","146,342,781",
"502","美国","28459000","品目2844以外的其他同位素及其无机或有机化合物","13645738","克","0","百万贝可","144,673,093",
"502","美国","25309020","稀土金属矿","55048500","千克","0","?","144,533,572",
"502","美国","39119000","初级形状多硫化物、聚砜及章注3所规定产品","12142587","千克","0","?","143,904,249",
"502","美国","39071010","初级形状的聚甲醛","59413873","千克","0","?","143,814,063",
"502","美国","90011000","光纤、光纤束及光缆，但品目8544的货品除外","383478","千克","0","?","141,238,925",
"502","美国","85044099","未列名静止式变流器","522326","个","1124015","千克","140,717,641",
"502","美国","26011110","平均粒度＜0.8mm未烧结铁矿砂及其精矿","1018424214","千克","0","?","139,895,521",
"502","美国","03033900","其他冻比目鱼","73041058","千克","0","?","139,452,348",
"502","美国","23012010","饲料用鱼粉","64619178","千克","0","?","139,362,713",
"502","美国","39072990","初级形状的其他聚醚","29275964","千克","0","?","138,078,877",
"502","美国","38180019","直径＞15.24cm的单晶硅切片","171224","千克","1597178","片","136,181,077",
"502","美国","90189080","手术机器人","4979","台","135625","千克","134,477,773",
"502","美国","87089999","品目8701至8704所列其他车辆用未列名零、附件","12019538","千克","0","?","133,965,561",
"502","美国","90212900","牙齿固定件","54054","千克","0","?","133,386,993",
"502","美国","28401900","其他四硼酸钠","240205627","千克","0","?","132,740,015",
"502","美国","39074000","初级形状的聚碳酸酯","56690614","千克","0","?","129,792,376",
"502","美国","84819010","阀门零件","1248576","千克","0","?","127,961,170",
"502","美国","49119100","印刷的图片、设计图样及照片","331340","千克","0","?","126,796,993",
"502","美国","84812010","油压传动阀","5996370","套","1067601","千克","126,754,997",
"502","美国","90158000","其他大地及水道测量海洋气象地球物理用仪器","35649","台","146645","千克","125,907,962",
"502","美国","84799090","品目8479所列其他机器的零件","1020161","千克","0","?","125,646,295",
"502","美国","90248000","其他材料的试验用机器及器具","30278","台","551690","千克","125,155,576",
"502","美国","84841000","密封垫等，金属片与其他材料或多层金属片制","436549","千克","0","?","123,997,161",
"502","美国","39081011","聚酰胺-6，6的切片","40677441","千克","0","?","123,824,138",
"502","美国","90262090","其他测量、检验压力的仪器及装置","1232099","个","177947","千克","123,733,582",
"502","美国","37079090","未列名摄影用化学制剂；摄影用未混合产品","1737802","千克","0","?","120,913,377",
"502","美国","90278120","质谱联用仪","881","台","188390","千克","119,718,730",
"502","美国","30061000","无菌外科肠线，昆布，止血材料，阻隔材料","95699","千克","0","?","118,201,458",
"502","美国","84139100","液体泵零件","1748283","千克","0","?","117,186,240",
"502","美国","90181390","核磁共振成像装置的零件","171349","个","802242","千克","116,289,957",
"502","美国","75089080","其他工业用镍制品","519200","千克","0","?","116,272,274",
"502","美国","85414100","发光二极管(LED)","282152248","个","2976","千克","114,570,627",
"502","美国","29012990","未列名不饱和无环烃","91607111","千克","0","?","112,325,854",
"502","美国","84099991","P≥132.39kw（180hp）柴油机的零件","3784777","千克","0","?","111,579,097",
"502","美国","90221990","未列名X射线的应用设备","3257","台","128838","千克","111,514,812",
"502","美国","02022000","冻带骨牛肉","13236096","千克","0","?","111,441,075",
"502","美国","87032363","仅装有点燃式活塞内燃发动机的小客车（9座及以下），2500cc＜排量≤3000cc","2127","辆","4319905","千克","110,963,638",
"502","美国","90271000","气体或烟雾分析仪","598491","台","210515","千克","110,385,200",
"502","美国","40169310","硫化橡胶制机器及仪器垫片、垫圈等密封垫","343826","千克","0","?","109,092,655",
"502","美国","39219090","未列名塑料板、片、膜、箔、扁条","5731912","千克","0","?","108,919,392",
"502","美国","38159000","未列名的反应引发剂、反应促进剂、催化剂","4965223","千克","0","?","108,806,523",
"502","美国","03079190","未列名活、鲜、冷的软体动物，种苗除外","2678408","千克","0","?","107,900,829",
"502","美国","03031200","其他冻大麻哈鱼","36796508","千克","0","?","107,696,322",
"502","美国","85423290","其他用作存储器的集成电路","177859082","个","14299","千克","107,491,190",
"502","美国","27011900","其他煤","1223574021","千克","0","?","107,007,918",
"502","美国","30024200","兽用疫苗","690562","千克","0","?","105,501,645",
"502","美国","84122100","直线作用（液压缸）的液压动力装置","22377","台","310679","千克","105,472,803",
"502","美国","90181291","彩色超声波诊断仪","141588","台","148513","千克","104,470,699",
"502","美国","44079400","樱桃木木材，经纵锯、纵切、刨切或旋切，厚＞6mm","101908093","千克","159194","立方米","103,449,895",
"502","美国","73072900","不锈钢制其他管子附件","344369","千克","0","?","102,608,803",
"502","美国","90181990","未列名电气诊断装置","258750","台","156595","千克","101,699,674",
"502","美国","39129000","未列名初级形状的纤维素及其化学衍生物","11342955","千克","0","?","101,636,824",
"502","美国","90142090","其他航空或航天导航仪器及装置（罗盘除外）","3761","个","14634","千克","101,125,155",
"502","美国","26161000","银矿砂及其精矿","21975380","千克","0","?","100,527,124",
"502","美国","90211000","矫形或骨折用器具","94956","千克","0","?","100,068,460",
"502","美国","03036300","冻鳕鱼","24005609","千克","0","?","99,961,544",
"502","美国","90261000","测量、检验液体流量或液位的仪器及装置","425236","个","312066","千克","99,172,777",
"502","美国","84118200","其他燃气轮机，P＞5000kw","28","台","446249","千克","99,065,152",
"502","美国","29102000","甲基环氧乙烷（氧化丙烯）","103075960","千克","0","?","98,670,359",
"502","美国","02032200","冻带骨猪前腿、猪后腿及其肉块","51967536","千克","0","?","97,702,779",
"502","美国","73269090","未列名非工业用钢铁制品","684073","千克","0","?","96,825,372",
"502","美国","85365000","开关，线路电压≤1000V","5245643","个","219913","千克","96,117,384",
"502","美国","29212290","六亚甲基二胺及其未列名盐","39469676","千克","0","?","95,557,095",
"502","美国","90269000","检测液体或气体变化量仪器及装置的零、附件","205946","千克","0","?","95,439,734",
"502","美国","39073000","初级形状的环氧树脂","14096267","千克","0","?","94,409,986",
"502","美国","85235120","已录制固态非易失性存储器件（闪速存储器）","63767","个","4431","千克","93,938,739",
"502","美国","25070010","高岭土","288545188","千克","0","?","92,788,946",
"502","美国","41041111","全粒面未剖层及粒面剖层蓝湿牛皮","42064728","千克","0","?","92,479,675",
"502","美国","90301000","离子射线的测量或检验仪器及装置","21823","台","116552","千克","92,136,841",
"502","美国","90181400","闪烁摄影装置","61390","台","519765","千克","91,876,205",
"502","美国","17021100","无水乳糖，重量计干燥状态的乳糖含量≥99％","109662722","千克","0","?","91,409,237",
"502","美国","85023900","未列名发电机组","15","台","1207711","千克","91,398,628",
"502","美国","85369090","未列名用于电压不超过1000伏线路的连接用电气装置","585315","千克","0","?","90,859,971",
"502","美国","84811000","减压阀","4462236","套","643930","千克","90,593,711",
"502","美国","84439929","数字印刷设备的其他零件及附件","102020","千克","0","?","89,926,107",
"502","美国","44032590","其他针叶木原木，最小截面尺寸在15厘米及以上","350339434","千克","480895","立方米","89,766,022",
"502","美国","03074310","冻的墨鱼（乌贼属、巨粒僧头乌贼、耳乌贼属）及鱿鱼（柔鱼属、枪乌贼属、双柔鱼属、拟乌贼属）","29332808","千克","0","?","89,735,478",
"502","美国","39211990","未列名泡沫塑料板、片、膜、箔、扁条","1259434","千克","0","?","88,969,580",
"502","美国","90329000","自动调节或控制仪器及装置的零件及附件","109464","千克","0","?","88,710,511",
"502","美国","03038990","未列名冻鱼","34887317","千克","0","?","88,148,795",
"502","美国","84814000","安全阀或溢流阀","3727841","套","815813","千克","88,128,160",
"502","美国","29349990","未列名杂环化合物","191873","千克","0","?","85,611,521",
"502","美国","73181600","螺母","741840","千克","0","?","85,250,499",
"502","美国","90181310","成套的核磁共振成像装置","44","套","556266","千克","84,976,139",
"502","美国","28439000","其他贵金属的无机及有机化合物；贵金属汞齐","774690","克","0","?","84,544,867",
"502","美国","29309090","未列名有机硫化合物","22390377","千克","0","?","84,071,564",
"502","美国","85334000","其他可变电阻器","152375","千克","216044","千个","83,978,929",
"502","美国","17049000","不含可可的糖食（口香糖除外）","5340368","千克","0","?","83,594,327",
"502","美国","47032900","半漂白或漂白非针叶木烧碱木浆或硫酸盐木浆","132212578","千克","0","?","82,730,793",
"502","美国","84137099","转速＜10000转/分的其他离心泵","14378","台","801813","千克","82,490,390",
"502","美国","97019119","100年及以下的其他油画、粉画及其他手绘画原件","1422","幅","13725","千克","82,323,743",
"502","美国","90308200","测试或检验半导体晶圆或器件（包括集成电路）用仪器及装置","968","台","130833","千克","82,139,053",
"502","美国","08029990","未列名鲜或干的坚果","18797314","千克","0","?","82,092,860",
"502","美国","34029000","其他表面活性剂制品、洗涤剂及清洁剂","17080544","千克","0","?","81,680,667",
"502","美国","39206900","其他聚酯非泡沫塑料的板、片、膜、箔及扁条","1145920","千克","0","?","81,237,648",
