表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2013,104.50,107.64,
88章 航空器、航天器及其零件,2013,7.35,135.88,
89章 船舶及浮动结构体,2013,1.21,0.63,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2013,95.93,109.94,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2013,86.18,109.77,
91章 钟表及其零件,2013,5.44,0.06,
92章 乐器及其零件、附件,2013,4.31,0.12,
"第十九类 武器、弹药及其零件、
附件",2013,1.04,0.00,
93章 武器、弹药及其零件、附件,2013,1.04,0.00,
第二十类 杂项制品,2013,382.34,4.31,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2013,230.35,2.94,
"95章 玩具、游戏品、运动用品及
其零件、附件",2013,128.87,0.73,
96章 杂项制品,2013,23.12,0.63,
第二十一类 艺术品、收藏品及古物,2013,1.17,0.48,
97章 艺术品、收藏品及古物,2013,1.17,0.48,
第二十二类 特殊交易品及未分类商品,2013,0.15,65.61,
98章 特殊交易品及未分类商品,2013,0.15,65.61,
总额,2014,3960.82,1590.36,
第一类 活动物；动物产品,2014,22.09,29.20,
01章 活动物,2014,0.32,0.53,
02章 肉及食用杂碎,2014,0.05,9.84,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2014,18.78,11.79,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2014,0.14,5.87,
05章 其他动物产品,2014,2.80,1.17,
第二类 植物产品,2014,13.60,194.46,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2014,0.22,0.06,
07章 食用蔬菜、根及块茎,2014,4.68,0.39,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2014,1.47,4.08,
09章 咖啡、茶、马黛茶及调味香料,2014,2.24,0.14,
10章 谷物,2014,0.03,20.95,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2014,0.19,0.17,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2014,2.26,168.33,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2014,2.43,0.29,
"14章 编结用植物材料；其他
植物产品",2014,0.08,0.05,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2014,0.94,2.48,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2014,0.94,2.48,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2014,36.20,31.69,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2014,14.11,0.04,
17章 糖及糖食,2014,1.84,1.02,
18章 可可及可可制品,2014,0.13,0.42,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2014,1.67,0.76,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2014,10.82,2.21,
21章 杂项食品,2014,2.73,2.77,
22章 饮料、酒及醋,2014,0.46,1.41,
"23章 食品工业的残渣及废料；配制
的动物饲料",2014,4.34,20.81,
24章 烟草及烟草代用品的制品,2014,0.10,2.25,
第五类 矿产品,2014,17.44,47.09,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2014,4.67,2.52,
26章 矿砂、矿渣及矿灰,2014,0.20,20.22,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2014,12.58,24.35,
"第六类 化学工业及其相关工业的
产品",2014,127.91,128.40,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2014,14.70,10.11,
29章 有机化学品,2014,61.56,37.42,
30章 药品,2014,11.62,19.82,
31章 肥料,2014,6.22,1.09,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2014,5.43,5.60,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2014,8.73,5.36,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2014,2.90,8.39,
"35章 蛋白类物质；改性淀粉；
胶；酶",2014,2.80,4.07,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2014,2.96,0.79,
37章 照相及电影用品,2014,0.56,5.41,
38章 杂项化学产品,2014,10.44,30.33,
"第七类 塑料及其制品，橡胶及其
制品",2014,179.33,80.85,
39章 塑料及其制品,2014,127.44,68.10,
40章 橡胶及其制品,2014,51.89,12.74,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2014,69.22,18.25,
41章 生皮(毛皮除外)及皮革,2014,0.24,17.77,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2014,68.37,0.14,
43章 毛皮、人造毛皮及其制品,2014,0.61,0.34,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2014,38.81,28.68,
44章 木及木制品；木炭,2014,35.24,28.68,
45章 软木及软木制品,2014,0.07,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2014,3.50,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2014,36.02,53.45,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2014,0.02,39.44,
"48章 纸及纸板；纸浆、纸或纸板
制品",2014,25.02,9.63,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2014,10.99,4.38,
第十一类 纺织原料及纺织制品,2014,418.79,25.25,
50章 蚕丝,2014,0.36,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2014,0.39,0.08,
52章 棉花,2014,2.75,13.81,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2014,0.47,0.00,
54章 化学纤维长丝,2014,5.80,1.45,
55章 化学纤维短纤,2014,5.06,5.30,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2014,5.73,2.06,
"57章 地毯及纺织材料的其他
铺地制品",2014,5.04,0.21,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2014,4.24,0.25,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2014,5.18,1.20,
60章 针织物及钩编织物,2014,6.84,0.17,
61章 针织或钩编的服装及衣着附件,2014,162.32,0.14,
"62章 非针织或非钩编的服装及
衣着附件",2014,142.92,0.17,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2014,71.69,0.41,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2014,173.69,0.92,
64章 鞋靴、护腿和类似品及其零件,2014,138.41,0.74,
65章 帽类及其零件,2014,11.17,0.04,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2014,4.66,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2014,19.45,0.14,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2014,60.26,15.25,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2014,11.10,1.63,
69章 陶瓷产品,2014,25.62,1.00,
70章 玻璃及其制品,2014,23.55,12.61,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2014,43.92,3.50,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2014,43.92,3.50,
第十五类 贱金属及其制品,2014,221.71,70.40,
72章 钢铁,2014,24.85,3.45,
73章 钢铁制品,2014,92.70,13.19,
74章 铜及其制品,2014,5.32,27.27,
75章 镍及其制品,2014,0.25,2.41,
76章 铝及其制品,2014,28.31,15.89,
78章 铅及其制品,2014,0.02,0.02,
79章 锌及其制品,2014,0.41,0.48,
80章 锡及其制品,2014,0.11,0.05,
81章 其他贱金属、金属陶瓷及其制品,2014,5.58,2.61,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2014,31.71,3.33,
83章 贱金属杂项制品,2014,31.45,1.70,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2014,1828.45,382.50,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2014,907.96,167.05,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2014,920.49,215.45,
"第十七类 车辆、航空器、船舶及
有关运输设备",2014,169.75,298.50,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2014,36.19,1.24,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2014,123.24,141.69,
88章 航空器、航天器及其零件,2014,8.61,155.18,
89章 船舶及浮动结构体,2014,1.71,0.39,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2014,103.86,114.02,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2014,93.70,113.85,
91章 钟表及其零件,2014,5.60,0.05,
92章 乐器及其零件、附件,2014,4.56,0.12,
"第十九类 武器、弹药及其零件、
附件",2014,0.91,0.00,
93章 武器、弹药及其零件、附件,2014,0.91,0.00,
第二十类 杂项制品,2014,397.06,4.89,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2014,241.21,3.22,
"95章 玩具、游戏品、运动用品及
其零件、附件",2014,131.92,1.00,
96章 杂项制品,2014,23.94,0.67,
第二十一类 艺术品、收藏品及古物,2014,0.70,0.35,
97章 艺术品、收藏品及古物,2014,0.70,0.35,
第二十二类 特殊交易品及未分类商品,2014,0.14,60.21,
98章 特殊交易品及未分类商品,2014,0.14,60.21,
总额,2015,4092.14,1478.09,
第一类 活动物；动物产品,2015,21.02,20.31,
01章 活动物,2015,0.22,0.11,
02章 肉及食用杂碎,2015,0.02,5.19,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2015,18.01,10.83,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2015,0.15,2.99,
05章 其他动物产品,2015,2.62,1.19,
第二类 植物产品,2015,14.42,164.16,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2015,0.28,0.07,
07章 食用蔬菜、根及块茎,2015,5.40,0.51,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2015,1.60,5.26,
09章 咖啡、茶、马黛茶及调味香料,2015,2.21,0.12,
10章 谷物,2015,0.04,27.78,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2015,0.14,0.23,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2015,2.03,129.83,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2015,2.62,0.29,
"14章 编结用植物材料；其他
植物产品",2015,0.09,0.08,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2015,0.86,0.68,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2015,0.86,0.68,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2015,35.84,36.43,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2015,13.00,0.04,
17章 糖及糖食,2015,1.63,0.72,
18章 可可及可可制品,2015,0.26,0.41,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2015,1.70,1.33,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2015,10.99,2.41,
21章 杂项食品,2015,3.29,3.45,
22章 饮料、酒及醋,2015,0.50,2.79,
"23章 食品工业的残渣及废料；配制
的动物饲料",2015,4.39,23.31,
24章 烟草及烟草代用品的制品,2015,0.09,1.97,
第五类 矿产品,2015,13.36,45.34,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2015,3.66,2.40,
26章 矿砂、矿渣及矿灰,2015,0.10,16.40,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2015,9.60,26.54,
"第六类 化学工业及其相关工业的
产品",2015,125.45,126.54,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2015,10.91,9.64,
29章 有机化学品,2015,58.20,31.12,
30章 药品,2015,13.35,26.51,
31章 肥料,2015,6.98,0.33,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2015,5.22,4.96,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2015,10.59,6.38,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2015,2.78,8.36,
"35章 蛋白类物质；改性淀粉；
胶；酶",2015,2.70,4.13,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2015,3.35,0.81,
37章 照相及电影用品,2015,0.45,5.86,
38章 杂项化学产品,2015,10.92,28.43,
"第七类 塑料及其制品，橡胶及其
制品",2015,179.57,74.42,
39章 塑料及其制品,2015,139.93,62.94,
40章 橡胶及其制品,2015,39.64,11.48,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2015,79.03,16.71,
41章 生皮(毛皮除外)及皮革,2015,0.22,15.86,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2015,78.07,0.15,
43章 毛皮、人造毛皮及其制品,2015,0.74,0.70,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2015,41.02,22.22,
44章 木及木制品；木炭,2015,37.26,22.21,
45章 软木及软木制品,2015,0.08,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2015,3.68,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2015,45.21,53.09,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2015,0.01,39.27,
"48章 纸及纸板；纸浆、纸或纸板
制品",2015,33.37,9.01,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2015,11.83,4.81,
第十一类 纺织原料及纺织制品,2015,447.68,19.81,
50章 蚕丝,2015,0.30,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2015,0.38,0.13,
52章 棉花,2015,3.51,11.03,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2015,0.43,0.00,
54章 化学纤维长丝,2015,5.74,1.21,
55章 化学纤维短纤,2015,5.25,3.22,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2015,6.64,1.90,
"57章 地毯及纺织材料的其他
铺地制品",2015,5.20,0.21,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2015,4.10,0.24,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2015,5.35,1.11,
60章 针织物及钩编织物,2015,7.35,0.14,
61章 针织或钩编的服装及衣着附件,2015,175.65,0.09,
"62章 非针织或非钩编的服装及
衣着附件",2015,151.23,0.18,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2015,76.54,0.34,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2015,184.69,1.14,
64章 鞋靴、护腿和类似品及其零件,2015,140.59,0.89,
65章 帽类及其零件,2015,12.81,0.04,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2015,4.89,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2015,26.41,0.20,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2015,83.79,11.68,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2015,18.69,1.90,
69章 陶瓷产品,2015,37.43,0.92,
70章 玻璃及其制品,2015,27.67,8.85,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2015,42.07,59.96,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2015,42.07,59.96,
第十五类 贱金属及其制品,2015,231.55,57.52,
72章 钢铁,2015,14.95,2.85,
73章 钢铁制品,2015,104.86,11.89,
74章 铜及其制品,2015,4.15,19.24,
75章 镍及其制品,2015,0.42,2.66,
76章 铝及其制品,2015,30.24,13.13,
78章 铅及其制品,2015,0.03,0.02,
79章 锌及其制品,2015,0.48,0.35,
80章 锡及其制品,2015,0.07,0.03,
81章 其他贱金属、金属陶瓷及其制品,2015,3.85,2.89,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2015,34.59,2.83,
83章 贱金属杂项制品,2015,37.91,1.64,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2015,1795.24,353.39,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2015,843.50,158.22,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2015,951.74,195.18,
"第十七类 车辆、航空器、船舶及
有关运输设备",2015,169.51,294.71,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2015,25.36,0.70,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2015,132.35,132.00,
88章 航空器、航天器及其零件,2015,8.88,161.47,
89章 船舶及浮动结构体,2015,2.91,0.54,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2015,109.99,113.35,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2015,99.14,113.13,
91章 钟表及其零件,2015,5.93,0.09,
92章 乐器及其零件、附件,2015,4.92,0.13,
"第十九类 武器、弹药及其零件、
附件",2015,1.09,0.00,
93章 武器、弹药及其零件、附件,2015,1.09,0.00,
第二十类 杂项制品,2015,469.49,6.05,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2015,290.32,3.87,
"95章 玩具、游戏品、运动用品及
其零件、附件",2015,151.11,1.45,
96章 杂项制品,2015,28.06,0.73,
第二十一类 艺术品、收藏品及古物,2015,1.21,0.16,
97章 艺术品、收藏品及古物,2015,1.21,0.16,
第二十二类 特殊交易品及未分类商品,2015,0.06,0.42,
98章 特殊交易品及未分类商品,2015,0.06,0.42,
总额,2016,3852.71,1344.45,
第一类 活动物；动物产品,2016,20.06,27.82,
01章 活动物,2016,0.36,0.05,
02章 肉及食用杂碎,2016,0.02,13.53,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2016,17.25,10.28,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2016,0.15,2.69,
05章 其他动物产品,2016,2.28,1.28,
第二类 植物产品,2016,15.78,166.48,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2016,0.35,0.05,
07章 食用蔬菜、根及块茎,2016,7.22,0.45,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2016,1.63,5.76,
09章 咖啡、茶、马黛茶及调味香料,2016,2.19,0.14,
10章 谷物,2016,0.02,15.26,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2016,0.08,0.23,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2016,1.64,144.30,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2016,2.56,0.23,
"14章 编结用植物材料；其他
植物产品",2016,0.10,0.05,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2016,0.76,1.49,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2016,0.76,1.49,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2016,35.71,26.24,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2016,12.34,0.06,
17章 糖及糖食,2016,1.77,0.60,
18章 可可及可可制品,2016,0.27,0.35,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2016,1.85,1.20,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2016,10.66,2.67,
21章 杂项食品,2016,3.85,3.73,
22章 饮料、酒及醋,2016,0.62,4.99,
"23章 食品工业的残渣及废料；配制
的动物饲料",2016,4.21,10.83,
24章 烟草及烟草代用品的制品,2016,0.13,1.82,
第五类 矿产品,2016,15.88,38.56,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2016,3.14,2.27,
26章 矿砂、矿渣及矿灰,2016,0.06,12.29,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2016,12.67,24.01,
"第六类 化学工业及其相关工业的
产品",2016,118.32,125.35,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2016,10.35,11.06,
29章 有机化学品,2016,57.92,30.19,
30章 药品,2016,13.03,25.80,
31章 肥料,2016,2.59,0.36,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2016,5.22,4.84,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2016,10.69,6.68,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2016,3.14,8.35,
"35章 蛋白类物质；改性淀粉；
胶；酶",2016,2.35,4.23,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2016,2.94,0.88,
37章 照相及电影用品,2016,0.35,5.04,
38章 杂项化学产品,2016,9.74,27.91,
"第七类 塑料及其制品，橡胶及其
制品",2016,163.13,71.56,
39章 塑料及其制品,2016,131.04,60.84,
40章 橡胶及其制品,2016,32.08,10.72,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2016,64.92,12.85,
41章 生皮(毛皮除外)及皮革,2016,0.23,11.78,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2016,64.09,0.47,
43章 毛皮、人造毛皮及其制品,2016,0.59,0.60,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2016,41.16,25.16,
44章 木及木制品；木炭,2016,37.77,25.16,
45章 软木及软木制品,2016,0.07,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2016,3.32,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2016,37.20,50.64,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2016,0.02,37.95,
"48章 纸及纸板；纸浆、纸或纸板
制品",2016,25.65,7.98,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2016,11.53,4.71,
第十一类 纺织原料及纺织制品,2016,421.22,12.78,
50章 蚕丝,2016,0.29,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2016,0.31,0.09,
52章 棉花,2016,2.62,6.23,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2016,0.35,0.01,
54章 化学纤维长丝,2016,5.57,1.21,
55章 化学纤维短纤,2016,4.84,1.14,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2016,6.19,1.69,
"57章 地毯及纺织材料的其他
铺地制品",2016,5.28,0.20,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2016,3.70,0.21,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2016,5.70,0.98,
60章 针织物及钩编织物,2016,7.19,0.13,
61章 针织或钩编的服装及衣着附件,2016,160.88,0.21,
"62章 非针织或非钩编的服装及
衣着附件",2016,143.04,0.34,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2016,75.26,0.35,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2016,158.18,1.26,
64章 鞋靴、护腿和类似品及其零件,2016,121.38,1.12,
65章 帽类及其零件,2016,12.03,0.03,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2016,4.63,0.01,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2016,20.14,0.09,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2016,63.61,12.90,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2016,14.64,2.21,
69章 陶瓷产品,2016,23.85,1.02,
70章 玻璃及其制品,2016,25.11,9.67,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2016,37.23,26.94,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2016,37.23,26.94,
第十五类 贱金属及其制品,2016,196.95,45.95,
72章 钢铁,2016,5.36,2.25,
73章 钢铁制品,2016,89.60,10.40,
74章 铜及其制品,2016,3.83,12.86,
75章 镍及其制品,2016,0.29,2.53,
76章 铝及其制品,2016,30.89,10.70,
78章 铅及其制品,2016,0.02,0.03,
79章 锌及其制品,2016,0.34,0.26,
80章 锡及其制品,2016,0.03,0.03,
81章 其他贱金属、金属陶瓷及其制品,2016,3.03,2.87,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2016,31.63,2.40,
83章 贱金属杂项制品,2016,31.94,1.62,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2016,1724.46,303.29,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2016,793.74,145.02,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2016,930.72,158.27,
"第十七类 车辆、航空器、船舶及
有关运输设备",2016,168.04,273.49,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2016,14.78,0.49,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2016,138.95,139.84,
88章 航空器、航天器及其零件,2016,11.12,132.85,
89章 船舶及浮动结构体,2016,3.18,0.31,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2016,108.80,112.15,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2016,98.37,111.86,
