表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2006,1.77,0.07,
37章 照相及电影用品,2006,1.31,1.88,
38章 杂项化学产品,2006,3.89,14.34,
"第七类 塑料及其制品，橡胶及其
制品",2006,80.09,36.92,
39章 塑料及其制品,2006,56.57,31.27,
40章 橡胶及其制品,2006,23.51,5.64,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2006,37.24,10.71,
41章 生皮(毛皮除外)及皮革,2006,0.57,10.53,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2006,36.19,0.03,
43章 毛皮、人造毛皮及其制品,2006,0.48,0.15,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2006,28.47,5.47,
44章 木及木制品；木炭,2006,25.71,5.47,
45章 软木及软木制品,2006,0.09,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2006,2.66,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2006,15.18,24.08,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2006,0.02,17.33,
"48章 纸及纸板；纸浆、纸或纸板
制品",2006,10.80,5.45,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2006,4.36,1.30,
第十一类 纺织原料及纺织制品,2006,198.68,29.95,
50章 蚕丝,2006,0.61,0.01,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2006,0.31,0.21,
52章 棉花,2006,2.11,23.00,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2006,0.15,0.00,
54章 化学纤维长丝,2006,1.45,0.74,
55章 化学纤维短纤,2006,3.54,2.53,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2006,1.10,2.08,
"57章 地毯及纺织材料的其他
铺地制品",2006,3.36,0.11,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2006,2.44,0.15,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2006,1.30,0.78,
60章 针织物及钩编织物,2006,1.13,0.09,
61章 针织或钩编的服装及衣着附件,2006,63.01,0.03,
"62章 非针织或非钩编的服装及
衣着附件",2006,78.81,0.06,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2006,39.35,0.16,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2006,90.98,1.02,
64章 鞋靴、护腿和类似品及其零件,2006,76.06,0.94,
65章 帽类及其零件,2006,5.62,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2006,1.86,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2006,7.45,0.07,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2006,27.09,3.48,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2006,5.28,0.99,
69章 陶瓷产品,2006,11.01,0.42,
70章 玻璃及其制品,2006,10.80,2.07,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2006,10.78,1.82,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2006,10.78,1.82,
第十五类 贱金属及其制品,2006,162.84,34.46,
72章 钢铁,2006,21.96,6.24,
73章 钢铁制品,2006,76.63,6.05,
74章 铜及其制品,2006,6.30,8.27,
75章 镍及其制品,2006,0.28,1.18,
76章 铝及其制品,2006,14.49,8.75,
78章 铅及其制品,2006,0.52,0.01,
79章 锌及其制品,2006,1.54,0.45,
80章 锡及其制品,2006,0.76,0.06,
81章 其他贱金属、金属陶瓷及其制品,2006,3.52,1.13,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2006,16.43,1.50,
83章 贱金属杂项制品,2006,20.41,0.83,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2006,925.11,213.73,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2006,463.40,96.74,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2006,461.71,116.99,
"第十七类 车辆、航空器、船舶及
有关运输设备",2006,77.65,71.05,
