CRE_Gdpct(Merge Query)
年度标识,城市名称,城市代码,省份名称,生产总值,年末总人口,人口密度,外商新签合同数,外商协议投资金额,外商实际投资额
2023,南京市,320100,江苏省,17421.4000,741.8100,1449.3700,,,493982.0000
2023,黔南布依族苗族自治州,522700,贵州省,1800.9451,,,,,
2023,黔东南苗族侗族自治州,522600,贵州省,1329.6498,,,,,
2023,黔西南布依族苗族自治州,522300,贵州省,1552.2352,,,,,
2023,铜仁市,520600,贵州省,1514.1049,,,,,
2023,毕节市,520500,贵州省,2302.0247,,,,,
2023,安顺市,520400,贵州省,1100.3397,,,,,
2023,遵义市,520300,贵州省,4601.5645,,,,,
2023,六盘水市,520200,贵州省,1557.6370,,,,,
2023,贵阳市,520100,贵州省,5154.7525,,,,,
2023,北京市,110000,北京市,43760.7000,1431.2000,1332.0000,1729.0000,,1371411.0000
2023,儋州市,469003,海南省,1002.8438,108.1844,,107.0000,3364536.0000,477044.0000
2023,三亚市,460200,海南省,971.3372,75.7674,,270.0000,863707.0000,596293.0000
2023,海口市,460100,海南省,2358.4396,230.5756,,1113.0000,4377763.0000,958874.0000
2023,商洛市,611000,陕西省,835.7310,246.9748,,6.0000,243.0000,0.0000
2023,安康市,610900,陕西省,1217.1300,300.7452,,15.0000,5959.0000,617.0000
2023,榆林市,610800,陕西省,7091.4400,386.1827,,17.0000,11063.0000,2679.0000
2023,汉中市,610700,陕西省,1894.8900,377.5470,,15.0000,10337.0000,1776.0000
2023,延安市,610600,陕西省,2280.2400,232.3845,,4.0000,814.0000,634.0000
2023,渭南市,610500,陕西省,2103.8300,533.7806,,3.0000,3914.0000,634.0000
2023,咸阳市,610400,陕西省,2878.2600,522.6543,,17.0000,83536.0000,5163.0000
2023,宝鸡市,610300,陕西省,2641.3800,371.8164,,15.0000,7306.0000,2338.0000
2023,铜川市,610200,陕西省,510.6300,77.1674,,3.0000,-1222.0000,235.0000
2023,西安市,610100,陕西省,12010.7600,1028.8070,,280.0000,135935.0000,87610.0000
2023,云浮市,445300,广东省,1207.4180,300.5500,307.8421,41.0000,292536.0000,19632.0000
2023,揭阳市,445200,广东省,2445.0281,711.8800,1073.5839,14.0000,781225.0000,39831.0000
2023,潮州市,445100,广东省,1356.5916,273.6700,815.2815,10.0000,17866.0000,8685.0000
