"Staper","Fresgn","Datasgn","Eftm0101","Eftm0102","Eftm0103","Eftm0106","Eftm0107","Eftm0108","Eftm0109"
"2003-02","M","A","48242000","23780000","24462000","4510000","19280000","2450000","22000000"
"2003-03","M","A","64642000","32551000","32091000","5860000","26680000","2820000","29270000"
"2003-03","M","B","173660000","87344000","86316000","16070000","71270000","7640000","78680000"
"2003-04","M","B","243957000","121932000","122025000","22520000","99400000","10600000","111430000"
"2003-04","M","A","70220000","34603000","35617000","6450000","28130000","2960000","32750000"
"2003-05","M","B","309343000","153485000","155858000","28000000","125480000","13170000","142680000"
"2003-05","M","A","65446000","31604000","33842000","5480000","26080000","2570000","31250000"
"2003-06","M","A","66812000","32336000","34476000","5820000","26520000","2880000","31590000"
"2003-06","M","B","376143000","185822000","190321000","33820000","152000000","16050000","174270000"
"2003-07","M","B","450740000","222330000","228410000","39940000","182390000","18840000","209560000"
"2003-07","M","A","74620000","36510000","38110000","6620000","30390000","2790000","35290000"
"2003-08","M","B","522720000","256930000","265790000","46120000","210810000","21500000","244290000"
"2003-08","M","A","72040000","34620000","37420000","6180000","28420000","2660000","34730000"
"2003-09","M","B","606260000","298560000","307700000","53600000","245000000","24500000","283200000"
"2003-09","M","A","83590000","41650000","41940000","7480000","34190000","3000000","38910000"
"2003-10","M","A","76120000","35190000","40930000","5500000","29600000","3000000","37900000"
"2003-10","M","B","682330000","333730000","348600000","59100000","274600000","27500000","321100000"
"2003-11","M","B","760930000","370590000","390340000","65300000","305300000","30600000","359800000"
"2003-11","M","A","78660000","36890000","41760000","6200000","30700000","3100000","38700000"
"2003-12","M","B","851210000","412840000","438370000","72800000","340100000","34800000","403600000"
"2003-12","M","A","90400000","42340000","48070000","7500000","34800000","4200000","43800000"
"2004-01","M","A","71450000","35740000","35720000","7901807","27812633","2385762","33323831"
"2004-01","M","B","71450000","35740000","35720000","7901807","27812633","2385762","33323831"
"2004-02","M","A","76190000","42030000","34160000","8937493","33081691","2614618","31433228"
"2004-02","M","B","147640000","77770000","69870000","16839300","60894325","5000380","64757059"
"2004-03","M","A","92236000","46388000","45848000","9210266","37268688","3071446","42773597"
"2004-03","M","B","239847000","124143000","115704000","26049566","98163012","8071826","107530656"
"2004-04","M","A","96500000","49380000","47120000","10408039","39121177","3141884","43967031"
"2004-04","M","B","336240000","173500000","162740000","36457605","137284189","11213711","151497687"
"2004-05","M","B","423840000","216250000","207590000","45384581","171341331","14602001","192953531"
"2004-05","M","A","87630000","42770000","44870000","8926977","34057142","3388290","41455844"
"2004-06","M","B","522970000","264900000","258080000","56152881","209466472","18247863","239825582"
"2004-06","M","A","99150000","48650000","50500000","10768300","38125140","3645862","46872051"
"2004-07","M","B","623110000","313990000","309120000","65900000","248100000","21590000","287520000"
"2004-07","M","A","99980000","48970000","51000000","9747119","38633528","3342137","47694418"
"2004-08","M","A","98310000","46910000","51400000","9210000","38320000","3200000","48290000"
"2004-08","M","B","722130000","361540000","360590000","75110000","286420000","24790000","335810000"
"2004-09","M","B","828550000","412310000","416240000","85360000","326960000","28480000","387760000"
"2004-09","M","A","106610000","50810000","55800000","10250000","40540000","3690000","51950000"
"2004-10","M","B","926470000","457750000","468720000","94620000","363130000","31920000","436800000"
"2004-10","M","A","97960000","45430000","52530000","9260000","36170000","3440000","49040000"
"2004-11","M","A","111960000","51030000","60930000","11340000","39680000","4020000","56860000"
"2004-11","M","B","1038380000","508770000","529610000","105960000","402810000","35940000","493660000"
"2004-12","M","B","1154740000","561380000","593360000","117300000","444120000","40550000","552820000"
"2004-12","M","A","116490000","52710000","63780000","11340000","41310000","4610000","59160000"
"2005-01","M","B","95060000","44290000","50780000","9633434","34620089","3619608","47106146"
"2005-01","M","A","95060000","44290000","50780000","9633434","34620089","3619608","47106146"
"2005-02","M","B","179460000","84180000","95280000","18853638","65295825","6431122","88574495"
"2005-02","M","A","84450000","39920000","44530000","9220203","30675736","2811514","41468349"
"2005-03","M","B","295200000","139310000","155890000","30935549","108428187","10901348","144951929"
"2005-03","M","A","116010000","55140000","60870000","12081911","43132362","4470226","56377434"
"2005-04","M","B","414920000","196870000","218040000","44223207","152794542","15212663","202732011"
"2005-04","M","A","119710000","57560000","62150000","13287659","44366355","4311316","57780082"
"2005-05","M","B","522780000","246390000","276400000","55827755","190583967","19027604","257352530"
"2005-05","M","A","107870000","49440000","58430000","11604548","37789425","3814941","54620519"
"2005-06","M","B","645030000","302690000","342340000","68782935","233910765","23568982","318770753"
"2005-06","M","A","122240000","56280000","65960000","12955180","43326798","4541378","61418223"
"2005-07","M","A","120760000","55180000","65580000","12811383","42227136","4235101","61349166"
"2005-07","M","B","765900000","357960000","407940000","81680297","276144992","27800710","380137135"
"2005-08","M","B","891110000","415450000","475670000","93997201","321477063","32048973","444201913"
"2005-08","M","A","125600000","57780000","67820000","12424037","45382651","4254316","64145287"
"2005-09","M","B","1024510000","478080000","546420000","107563845","370520144","36097169","510321409"
"2005-09","M","A","132810000","62620000","70190000","13571746","49051377","4046349","66139160"
"2005-10","M","B","1148610000","534120000","614490000","120211768","413908448","39768413","574725606"
"2005-10","M","A","124170000","56080000","68090000","12637617","43438403","3671769","64420241"
"2005-11","M","B","1282270000","595730000","686550000","133691005","462102053","44116790","642523037"
"2005-11","M","A","133750000","61620000","72120000","13467359","48219857","4351589","67866173"
"2005-12","M","A","139810000","64400000","75410000","14007188","50388835","4919925","70492443"
"2005-12","M","B","1422120000","660120000","762000000","147709838","512408694","49038838","712960300"
"2006-01","M","B","120490000","55500000","64990000","13879264","41617564","3875109","61113705"
"2006-01","M","A","120490000","55500000","64990000","13879264","41617564","3875109","61113705"
"2006-02","M","B","226370000","107180000","119190000","26621237","80454491","7071679","112165634"
